species	nb_extracellular
Turicibacter_sanguinis_52329	29
Veillonella_atypica_58169	12
Veillonella_dispar_61763	9
Veillonella_parvula_57794	13
Veillonella_parvula_58184	14
Veillonella_sp_62404	9
Vibrio_alginolyticus_56291-1441611.4	64
Vibrio_cholerae_56566-1095659.3	39
Vibrio_cholerae_57327-914149.18	46
Vibrio_fluvialis_57225-1315314.5	43
Vibrio_parahaemolyticus_57034-670.114	61
Vibrio_vulnificus_58105-672.95	55
Weissella_confusa_59158	18
Yersinia_enterocolitica_57651-940287.3	63
Yersinia_enterocolitica_60538-1443113.3	63
Yersinia_pestis_56773-1084233.3	85
Yersinia_pestis_56773-273123.10	83
Acidaminococcus_intestini_54097	10
Akkermansia_muciniphila_55290	22
Alistipes_finegoldii_56071	37
Alistipes_indistinctus_62207	26
Alistipes_onderdonkii_55464	53
Alistipes_putredinis_61533	18
Alistipes_senegalensis_58364	42
Alistipes_shahii_62199	48
Alistipes_sp_59510	15
Alistipes_sp_60764	21
Anaerostipes_hadrus_55206	39
Bacteroidales_bacterium_58650	27
Bacteroides_caccae_53434	31
Bacteroides_cellulosilyticus_58046	66
Bacteroides_clarus_62282	34
Bacteroides_coprocola_61586	40
Bacteroides_coprophilus_61767	23
Bacteroides_eggerthii_54457	32
Bacteroides_faecis_58503	56
Bacteroides_finegoldii_57739	47
Bacteroides_fragilis_54507	37
Bacteroides_fragilis_56548	37
Bacteroides_intestinalis_61596	50
Bacteroides_massiliensis_44749	31
Bacteroides_nordii_55557	56
Bacteroides_ovatus_58035	86
Bacteroides_pectinophilus_61619	56
Bacteroides_plebeius_61623	38
Bacteroides_salyersiae_54873	41
Bacteroides_stercoris_56735	35
Bacteroides_thetaiotaomicron_56941	62
Bacteroides_uniformis_57318	28
Bacteroides_vulgatus_57955	35
Bacteroides_xylanisolvens_57185	62
Barnesiella_intestinihominis_62208	29
Bifidobacterium_adolescentis_56815	36
Bifidobacterium_catenulatum_58257	27
Bifidobacterium_longum_57796	21
Blautia_wexlerae_56130	81
Brachyspira_aalborgi_61157	21
Burkholderiales_bacterium_56577	11
Butyricimonas_virosa_58742	12
Butyrivibrio_crossotus_61674	30
Catenibacterium_mitsuokai_61547	13
Clostridium_bolteae_57158	92
Clostridium_leptum_61499	43
Clostridium_nexile_61654	65
Clostridium_sp_61482	36
Clostridium_spiroforme_61500	63
Collinsella_sp_62205	15
Coprobacillus_sp_47700	52
Coprobacter_fastidiosus_56550	35
Coprobacter_sp_60889	34
Coprococcus_catus_62200	41
Coprococcus_comes_61587	41
Coprococcus_eutactus_61480	30
Coprococcus_sp_62244	46
Desulfovibrio_piger_61475	12
Dialister_invisus_61905	9
Dialister_succinatiphilus_62213	14
Dorea_formicigenerans_56346	50
Dorea_longicatena_59913	50
Dorea_longicatena_61473	29
Erysipelotrichaceae_bacterium_55770	33
Escherichia_coli_58110	41
Eubacterium_biforme_61684	24
Eubacterium_eligens_61678	34
Eubacterium_hallii_61477	34
Eubacterium_ramulus_59802	64
Eubacterium_rectale_56927	48
Eubacterium_siraeum_57634	32
Eubacterium_ventriosum_61474	63
Faecalibacterium_cf_62236	26
Faecalibacterium_prausnitzii_57453	22
Faecalibacterium_prausnitzii_61481	24
Faecalibacterium_prausnitzii_62201	24
Klebsiella_oxytoca_54123	79
Klebsiella_pneumoniae_54788	21
Lactobacillus_ruminis_57020	21
Megamonas_hypermegale_57114	9
Odoribacter_laneus_62216	15
Odoribacter_splanchnicus_62174	23
Oscillibacter_sp_60799	17
Oscillospiraceae_bacterium_54867	25
Parabacteroides_distasonis_56985	30
Parabacteroides_goldsteinii_56831	56
Parabacteroides_johnsonii_55217	25
Parabacteroides_merdae_56972	17
Paraprevotella_clara_33712	23
Phascolarctobacterium_sp_59817	11
Phascolarctobacterium_sp_59818	10
Phascolarctobacterium_succinatutens_61948	6
Prevotella_copri_61740	23
Prevotella_sp_54790	35
Prevotella_stercorea_58308	34
Roseburia_hominis_61877	30
Roseburia_intestinalis_56239	34
Roseburia_inulinivorans_61943	35
Ruminococcus_bicirculans_59300	55
Ruminococcus_bromii_62047	37
Ruminococcus_callidus_61479	76
Ruminococcus_gnavus_57638	38
Ruminococcus_lactaris_55568	43
Ruminococcus_obeum_61472	47
Ruminococcus_sp_55468	60
Ruminococcus_torques_62045	34
Subdoligranulum_sp_62068	20
Sutterella_wadsworthensis_56828	12
Sutterella_wadsworthensis_62218	11
